order_id,Product_ID,seller_id,order_date,delivery_date,expected_delivery_date,quantity
1,1052,14409,30-08-2021,24-09-2021,25-09-2021,13
2,1093,9790,03-02-2021,13-02-2021,11-02-2021,15
3,1015,1151,08-10-2021,03-11-2021,04-11-2021,1
4,1072,8775,06-05-2021,19-05-2021,21-05-2021,6
5,1061,13056,23-03-2021,24-03-2021,25-03-2021,8
6,1021,89254,09-09-2021,05-10-2021,07-10-2021,10
7,1083,4534,05-04-2021,11-04-2021,12-04-2021,9
8,1087,35182,12-04-2021,01-05-2021,02-05-2021,14
9,1075,81560,01-05-2021,11-05-2021,10-05-2021,1
10,1075,30575,15-10-2021,16-10-2021,15-10-2021,5
11,1088,39400,15-06-2021,30-06-2021,01-07-2021,8
12,1100,20231,30-06-2021,11-07-2021,12-07-2021,8
13,1024,18682,15-10-2021,31-10-2021,29-10-2021,9
14,1003,5704,29-03-2021,12-04-2021,11-04-2021,4
15,1022,95110,22-09-2021,08-10-2021,09-10-2021,3
16,1053,13412,07-07-2021,08-07-2021,07-07-2021,11
17,1002,22750,09-02-2021,11-02-2021,10-02-2021,11
18,1088,7124,01-01-2021,03-01-2021,01-01-2021,10
19,1030,5416,30-08-2021,10-09-2021,11-09-2021,11
20,1038,68485,13-01-2021,20-01-2021,19-01-2021,10
21,1002,88034,04-04-2021,17-04-2021,18-04-2021,15
22,1064,74914,28-05-2021,09-06-2021,07-06-2021,12
23,1060,5713,17-05-2021,22-05-2021,23-05-2021,3
24,1021,82820,04-09-2021,20-09-2021,18-09-2021,10
25,1033,8225,04-07-2021,08-07-2021,06-07-2021,1
26,1076,9121,25-04-2021,04-05-2021,05-05-2021,4
27,1058,74310,16-05-2021,28-05-2021,26-05-2021,11
28,1022,4571,19-08-2021,04-09-2021,03-09-2021,10
29,1089,29311,22-03-2021,28-03-2021,29-03-2021,9
30,1049,5528,07-07-2021,26-07-2021,25-07-2021,2
31,1091,12235,11-03-2021,05-04-2021,07-04-2021,13
32,1059,18130,17-06-2021,14-07-2021,12-07-2021,4
33,1042,42800,01-07-2021,07-07-2021,08-07-2021,13
34,1092,27525,23-05-2021,30-05-2021,29-05-2021,12
35,1060,81750,31-08-2021,07-09-2021,09-09-2021,8
36,1080,13175,22-08-2021,04-09-2021,06-09-2021,10
37,1015,7170,07-07-2021,18-07-2021,17-07-2021,10
38,1062,93415,03-02-2021,19-02-2021,21-02-2021,12
39,1062,65075,26-02-2021,20-03-2021,21-03-2021,2
40,1047,88104,07-01-2021,19-01-2021,20-01-2021,5
41,1062,7176,03-01-2021,09-01-2021,08-01-2021,11
42,1051,35960,29-07-2021,02-08-2021,31-07-2021,8
43,1055,5727,13-07-2021,03-08-2021,04-08-2021,1
44,1064,7053,07-09-2021,22-09-2021,21-09-2021,12
45,1003,14026,30-05-2021,21-06-2021,19-06-2021,6
46,1051,30320,22-06-2021,04-07-2021,03-07-2021,7
47,1007,38300,21-04-2021,23-04-2021,21-04-2021,7
48,1021,18740,16-04-2021,23-04-2021,21-04-2021,14
49,1073,83085,22-01-2021,13-02-2021,14-02-2021,4
50,1039,89254,16-09-2021,18-09-2021,17-09-2021,8
51,1018,5351,19-02-2021,26-02-2021,27-02-2021,15
52,1004,39406,06-10-2021,29-10-2021,28-10-2021,12
53,1089,14860,22-04-2021,02-05-2021,30-04-2021,13
54,1060,21310,25-04-2021,17-05-2021,16-05-2021,14
55,1014,23970,08-04-2021,25-04-2021,27-04-2021,10
56,1009,79804,23-01-2021,18-02-2021,20-02-2021,11
57,1090,5017,27-02-2021,13-03-2021,12-03-2021,14
58,1053,75388,02-02-2021,10-02-2021,11-02-2021,6
59,1002,85808,31-01-2021,27-02-2021,26-02-2021,5
60,1084,60140,05-02-2021,28-02-2021,27-02-2021,2
61,1092,72270,16-04-2021,28-04-2021,27-04-2021,14
62,1060,2075,30-07-2021,13-08-2021,15-08-2021,3
63,1071,96015,11-02-2021,08-03-2021,07-03-2021,7
64,1044,90010,24-01-2021,15-02-2021,13-02-2021,1
65,1008,22440,26-06-2021,22-07-2021,21-07-2021,4
66,1047,13323,14-08-2021,22-08-2021,24-08-2021,2
67,1035,30190,22-05-2021,17-06-2021,16-06-2021,9
68,1078,13212,12-02-2021,18-02-2021,20-02-2021,2
69,1081,29307,08-03-2021,28-03-2021,26-03-2021,7
70,1036,12280,15-05-2021,26-05-2021,25-05-2021,14
71,1050,60336,14-02-2021,16-02-2021,14-02-2021,6
72,1004,11310,13-03-2021,16-03-2021,17-03-2021,13
73,1002,38408,24-07-2021,19-08-2021,21-08-2021,5
74,1006,37720,23-02-2021,27-02-2021,25-02-2021,10
75,1054,24431,24-08-2021,15-09-2021,14-09-2021,6
76,1004,5890,18-06-2021,26-06-2021,24-06-2021,9
77,1054,3733,19-04-2021,29-04-2021,27-04-2021,12
78,1093,83709,13-05-2021,29-05-2021,28-05-2021,4
79,1063,11347,16-03-2021,25-03-2021,24-03-2021,6
80,1018,26272,26-04-2021,20-05-2021,18-05-2021,13
81,1090,5415,13-06-2021,15-06-2021,13-06-2021,12
82,1044,59655,02-02-2021,27-02-2021,26-02-2021,3
83,1034,4548,25-06-2021,01-07-2021,30-06-2021,11
84,1074,28010,26-08-2021,20-09-2021,18-09-2021,13
85,1062,13573,10-03-2021,22-03-2021,24-03-2021,3
86,1100,2175,05-08-2021,11-08-2021,10-08-2021,15
87,1014,37500,20-06-2021,16-07-2021,17-07-2021,8
88,1095,90670,19-07-2021,15-08-2021,14-08-2021,10
89,1048,9890,22-10-2021,16-11-2021,15-11-2021,14
90,1015,13321,13-06-2021,07-07-2021,06-07-2021,15
91,1072,44380,02-09-2021,15-09-2021,14-09-2021,6
92,1078,27700,12-01-2021,30-01-2021,31-01-2021,15
93,1087,44033,22-10-2021,11-11-2021,10-11-2021,2
94,1062,4537,08-03-2021,26-03-2021,25-03-2021,15
95,1040,71540,25-01-2021,05-02-2021,06-02-2021,8
96,1085,13569,20-06-2021,30-06-2021,29-06-2021,15
97,1080,5565,29-03-2021,31-03-2021,29-03-2021,13
98,1082,3636,29-04-2021,08-05-2021,10-05-2021,1
99,1053,24120,13-09-2021,25-09-2021,27-09-2021,3
100,1024,65058,30-03-2021,16-04-2021,17-04-2021,11
101,1026,2983,31-01-2021,27-02-2021,28-02-2021,3
102,1089,4105,07-05-2021,26-05-2021,24-05-2021,14
103,1060,89260,16-06-2021,24-06-2021,23-06-2021,8
104,1041,62016,05-06-2021,23-06-2021,22-06-2021,13
105,1029,35500,25-06-2021,14-07-2021,12-07-2021,8
106,1015,8743,09-03-2021,28-03-2021,27-03-2021,9
107,1045,71928,11-01-2021,03-02-2021,04-02-2021,4
108,1065,4938,07-03-2021,28-03-2021,27-03-2021,5
109,1089,2209,06-04-2021,29-04-2021,27-04-2021,12
110,1071,25850,02-09-2021,06-09-2021,04-09-2021,2
111,1009,53437,30-03-2021,14-04-2021,16-04-2021,8
112,1088,4710,04-02-2021,17-02-2021,16-02-2021,7
113,1001,6382,19-03-2021,08-04-2021,07-04-2021,8
114,1008,2632,08-08-2021,02-09-2021,31-08-2021,10
115,1088,95765,11-04-2021,22-04-2021,24-04-2021,13
116,1063,2631,25-04-2021,20-05-2021,22-05-2021,13
117,1011,36780,08-01-2021,23-01-2021,21-01-2021,7
118,1081,80050,20-02-2021,22-02-2021,23-02-2021,1
119,1008,30664,29-04-2021,06-05-2021,07-05-2021,10
120,1035,86990,09-06-2021,14-06-2021,12-06-2021,2
121,1035,8490,21-04-2021,23-04-2021,24-04-2021,8
122,1033,15015,13-04-2021,04-05-2021,02-05-2021,3
123,1005,28909,04-03-2021,22-03-2021,20-03-2021,6
124,1041,32140,06-07-2021,15-07-2021,16-07-2021,13
125,1028,38410,22-10-2021,03-11-2021,05-11-2021,7
126,1007,86640,31-01-2021,20-02-2021,21-02-2021,11
127,1073,91340,01-04-2021,11-04-2021,09-04-2021,1
128,1072,14600,13-10-2021,09-11-2021,07-11-2021,11
129,1012,85854,24-05-2021,27-05-2021,25-05-2021,13
130,1034,30421,20-06-2021,15-07-2021,14-07-2021,7
131,1033,9862,20-09-2021,24-09-2021,25-09-2021,8
132,1048,24431,17-04-2021,01-05-2021,02-05-2021,4
133,1023,8686,07-07-2021,17-07-2021,15-07-2021,5
134,1062,7243,19-06-2021,01-07-2021,03-07-2021,12
135,1088,89120,15-05-2021,02-06-2021,03-06-2021,8
136,1037,88348,06-09-2021,08-09-2021,10-09-2021,15
137,1099,95340,18-10-2021,20-10-2021,18-10-2021,6
138,1044,96215,05-02-2021,10-02-2021,08-02-2021,15
139,1086,71665,15-06-2021,28-06-2021,26-06-2021,11
140,1091,12929,08-04-2021,13-04-2021,11-04-2021,13
